//idk exactly what created this, i think ExcelToCsv
12S,16S,18S,28S,H3,NaK,Pepck
"X (new, 390)",X (new),blasts 100% JF346234.1,X (new),X (new),,
"X (new, 379)",X (new),"blasts 100% to this, but i do not believe is the idame individual JF346235.1",,X (new),,
"X (new, very short, 284)","X (new, 469)",X (new),X (new),X (new),,
"X (new, 396)",EU868650.1,EU868741.1,X (new),X (new),,
,GQ487496.1,GQ487504.1,GQ487512.1,GQ487523.1,,
"X (new, 335)","X (new, 491)",X (new),"X (new, 1422)",X (new),,
"X (new, 327)","X (new, short, 486)",X (new),X (new),X (new),,
MN994010.1 (356),EU868651.1,EU868742.1,"X (new data, 1751)",X (new data),,
"X (new data, short, 402)",EU868652.1,EU868743.1,"X (new data, 1304)",X (new data),,
,EU920921.1 (449),EU920941.1 (1683),EU920986.1 (1975),EU921054.1,,
,EU868653.1,EU868744.1,X (new data),X (new data),,
"X (new data, short, 406)",EU868654.1,EU868745.1,,X (new data),,
"X (new data, 392)",EU868656.1,EU868747.1,X (new data),X (new data),,
,,"X (new data, 1706)",X (new data),X (new data),,
"? (all blast results hit 12s for penaeoids, 339)","X (new data, 492)",X (new data),X (new data),X (new data),,
"X (newdata, 338)",,X (new data),X (new data),X (new data),,
"X (new data, 403)",EU868657.1,EU868748.1,"X (new data, 699)",X (new data),,
"X (new data, 335 bp)",X (new data),"X (new data, but blasted 100% to a different individual JF346241.1)","X (new data, 1451bp)",X (new data),,
,EU868661.1,EU868752.1,"X (new data, 1475)",X (new data),,
"EU920896.1 (short, 335 bp)",EU920927.1 (this seq is a lil short (453 bp) but ours is shorter (414 bp)),"X (new data, but this individual is already in GenBank, the sequence is short, 1163 bp, EU920939.1)",EU920974.1,EU921063.1,,
,x,x,x,x,,
JX403873.1,EU868664.1,EU868755.1,JX403816.1,JX403896.1,,
"X(new data; short, 334 bp)","X(new data; lil short, 469 bp)",X(new data),"X(new data, short, 1486)",X(new data),,
X(new data),EU868669.1,EU868760.1,X(new data),X(new data),,
X(new data),EU868668.1,EU868759.1,X(new data),X(new data),,
X(new data),,EU868761.1,X(new data),X(new data),,
X(new data),MT505229.1,X(new data),"X(new data, lil short, 1878 bp)",X(new data),,
,X(new data),X(new data),DQ079793.1,X(new data),,
X(new data),EU868665.1,EU868756.1,X(new data),X(new data),,
DQ079719.1,X(new data),DQ079753.1,DQ079794.1,DQ079682.1,,
X(new data),EU868666.1,EU868757.1,X(new data),MT527443.1,,
KP075997.1,EU868673.1,EU868766.1,KP075760.1,KP076132.1,,
KP075996.1,KP075927.1,X(new data),KP075759.1,X(new data),,
,EU868674.1,EU868767.1,X(new data),X(new data),,
,X(new data),X(new data),X(new data),X(new data),,
X(newdata),EU868680.1,EU868773.1,"X(new data, short, 1153)",X(new data),,
KP075970.1,,KP075779.1,KP075754.1,,KP076039.1,
KP076020.1,KP075908.1,KP075828.1,KP075756.1,KP076133.1,,
KP076019.1,KP075909.1,KP075827.1,KP075758.1,KP076134.1,KP076048.1,
KP076017.1,KP075933.1,,,KP076130.1,,
KP075974.1,KP075901.1,KP075797.1,KP075748.1,KP076122.1,KP076031.1,
KP075972.1,KP075904.1,KP075780.1,KP075747.1,KP076117.1,KP076032.1,
KP075987.1,KP075920.1,KP075847.1,KP075697.1,KP076072.1,,
KP075982.1,KP075917.1,KP075849.1,KP075698.1,KP076070.1,KP076046.1,
KP075989.1,,KP075842.1,KP075706.1,KP076074.1,,
KP075981.1,KP075923.1,KP075835.1,KP075765.1,KP076068.1,,
KP075995.1,KP075926.1,KP075853.1,KP075709.1,KP076078.1,,
KP075994.1,KP075916.1,KP075784.1,,KP076064.1,,
KP076007.1,KP075868.1,KP075838.1,KP075694.1,KP076059.1,,
KP076008.1,KP075870.1,KP075845.1,KP075689.1,KP076060.1,,
KP076005.1,KP075866.1,KP075846.1,KP075770.1,KP076080.1,,
KP076004.1,EU868681.1,EU868774.1,KP075695.1,KP076079.1,,
KP075992.1,KP075924.1,KP075855.1,KP075707.1,KP076063.1,,
KP075993.1,KP075925.1,KP075857.1,KP075708.1,KP076077.1,,
,EU868658.1,EU868750.1,X(new data),X(new data),,
,EU868658.1,EU868749.1,X(new data),X(new data),,
"X(new data, lil short, ##)","X(new data, lil short, 477)",X(new data),"X(new data, short, 1411)",X(new data),,
X(new data),EU868686.1,EU868779.1,X(new data),X(new data),,
X(new data),EU868685.1,EU868778.1,X(new data),X(new data),,
X(new data),EU868684.1,EU868777.1,X(new data),X(new data),,
X(new data),EU868687.1,EU868780.1,X(new data),,,
X(new data),EU868688.1,EU868781.1,X(new data),X(new data),,
X(new data),EU868701.1,EU868795.1,X(new data),X(new data),,
X(new data),EU868663.1,EU868754.1,"X(new data, short)",X(new data),,
x,,,,,,
,EU868693.1,EU868787.1,"X(new data, short)",,,
x,x,,,,,
X(new data),"X(new data, short)",,X(new data),X(new data),,
X(new data),EU868694.1,EU868788.1,X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),EU868696.1,EU868790.1,X(new data),X(new data),,
KF827962.1,EU868697.1,EU868791.1,KF182648.1,KF828028.1,,
,,DQ079755.1,DQ079796.1,DQ079684.1,,
